JTRACK Title	|Bills list
	|deutsche akademie fur sprache und dichtung
Diaspora:  A Journal of Transnational Studies	|diaspora
	|drama and theatre
	|drama survey
Economía	|economía: journal of the latin american and caribbean economic association
	|economie et politique
	|educateur et bulletin corporatif
	|educational leadership
	|educational psychologist
	|educational record
	|egypt exploration fund
Eighteenth-Century Studies	|eighteenth century ireland
	|english language teacher's journal
	|english language teaching
	|entrepreneuriship theory and practice
Environmental Health Perspectives. Supplements	|environmental health perspectives supplements
Erkenntnis (1975-)	|erkenntnis
	|estudios sociologicos
	|ethnologie française
	|etudes rurales
European Journal of Population / Revue européenne de Démographie	|european journal of population
	|european review of latin american and caribbean studies
	|film comment
	|film culture
	|film forum review
	|film heritage
	|film journal
	|film library quarterly
Financial Analysts Journal	|financial analysts? journal
	|financial statistics
	|focus on exceptional children
Fogg Art Museum. Acquisitions	|fogg art museum acquisitions
	|fogg art museum handbook
	|folia linguistica
	|french studies
	|french studies bulletin
Frontiers: A Journal of Women Studies	|frontiers
	|gastronomica
Geological Society of America Data Repository	|geographical society of america data repository
	|geoscience and man
	|gifted child
	|glotta: zeitschrift für griechische und lateinische sprache
	|government and opposition
	|harvard educational record
	|harvard international review
	|harvard teacher's record
Health Service Research	|health service research
Historia: Zeitschrift für Alte Geschichte	|historia zeitschrift fur alte geschichte
	|historia, antropologia y fuentes orales
Historische Sprachforschung  / Historical Linguistics	|historische sprachforschung / historical linguistics
Historische Zeitschrift	|historische zeitschrift.
	|history of education researcher
	|history of education society bulletin
History of Religions	|history of religion
	|horn book magazine
	|i tatti studies
International Journal of Feminist Approaches to Bioethics	|ijfab: international journal of feminist approaches to bioethics
In Vitro Cellular & Developmental Biology. Animal	|in vitro cellular and developmental biology animal
In Vitro Cellular & Developmental Biology. Plant	|in vitro cellular and developmental biology plant
	|indiana history review
	|information technology and libraries
	|institute of mathematical statistics bulletin
	|integral
Interfaces	|interfaces (providence)
International Affairs  (Royal Institute of International Affairs 1944 -)	|international affairs
	|international financial statistics
	|international journal of african historical  studies
	|international journal of feminist approaches to bioethics (ijfab)
	|international perspectives on sexual and reproductive health
	|international political science review
International Review of the Aesthetics and Sociology of Music	|international review of aesthetics and sociology of music
	|international review of applied linguistics in language teaching
International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education	|international review of education
International Statistical Review / Revue Internationale de Statistique	|international statistical review
	|interracial books for children bulletin
Invertebrate Biology	|invertabrate biology
	|iowa historical review
Iowa Review	|iowa revew
IRB: Ethics and Human Research	|irb
Irish Arts Review (2002-)	|irish arts review
Irish Journal of Earth Sciences	|irish journal of earth science
Irish Journal of Education / Iris Eireannach an Oideachais	|irish journal of education
	|irish review (cork)
	|jahrbuch des deutschen volksliedarchivs
Jahrbuch der Kunsthistorischen Museums Wien	|jahrbuch des kunsthistorischen museums wien
Jahrbuch für Wirtschaftswissenschaften / Review of Economics	|jahrbuch fur kommunikationsgeschichte
JAMA: Journal of the American Medical Association	|jama
Jahrbucher fur Geschichte Osteuropas	|jarhbucher fur geschichte osteuropas
Journal of Middle East Women's Studies	|jmews: journal of middle east women's studies
Journal for General Philosophy of Science / Zeitschrift für allgemeine Wissenschaftstheorie	|journal for general philosophy of science
	|journal for the society for social studies of science
Journal of Agricultural, Biological, and Environmental Statistics	|journal of agricultural, biological, and environmental statisitics
	|journal of applied behavioral analysis
Journal of Architectural Education (1984-)	|journal of architectural education
	|journal of comparative and physiological psychology
	|journal of development and remedial education
	|journal of economic and social history of the orient
	|journal of economic surveys
	|journal of educational administration
	|journal of empirical research on human research ethics
	|journal of epidemiology and community health
Journal of Eukaryotic Microbiology	|journal of eukaryotic micro biology
Journal of Eukaryotic Microbiology	|journal of eukyarotic micro biology
	|journal of experimental pedagogy
	|journal of experimental psychology
	|journal of experimental psychology: general
	|journal of financial planning
	|journal of homosexuality
Journal of Law, Economics, & Organization	|journal of law, economics and organization
Journal of Marriage and Family	|journal of marriage and the family
Journal of Money, Credit, and Banking	|journal of money, credit and banking
Journal of New Zealand Literature: JNZL	|journal of new zealand literature
	|journal of personality assessment
	|journal of political and economic affairs
	|journal of political science
	|journal of psychology
Journal of Public Administration Research and Theory: J-PART	|journal of public administration research and theory
Journal of Public Affairs Education	|journal of public affairs education: j pae
Journal of the Illinois State Historical Society (1998-)	|journal of the illinois state historical society
Journal of the Royal Geographical Society of London	|journal of the royal geographical society
Journal for the Scientific Study of Religion	|journal of the scientific study of religion
	|journal of the society for social studies of science
Memoir (Society of Vertebrate Paleontology)	|journal of vertebrate paleontology. memoir
	|journal test
Journal of the Royal Statistical Society Series A (Statistics in Society)	|jrss series a
Journal of the Royal Statistical Society Series B (Statistical Methodology)	|jrss series b
Journal of the Royal Statistical Society. Series C (Applied Statistics)	|jrss series c
Journal of the Royal Statistical Society. Series D (The Statistician)	|jrss series d
Kew Bulletin	|kew bulletin bulletin of miscellaneous information
Kew Bulletin. Additional Series	|kew bulletin. additional series.
Ricerca Folklorica	|la ricerca folklorica
Labour / Le Travail	|labour
	|lancet
Lecture Notes-Monograph Series	|lecture notes- monograph series
Lenox Avenue: A Journal of Interarts Inquiry	|lenox avenue
	|les temps modernes
	|library journal
	|litterature
	|louisiana historical review
Louisiana History: The Journal of the Louisiana Historical Association	|louisiana history
	|lupk
OAH Magazine of History 	|magazine of history
Manoa	|manoa: a pacific journal of international writing
Maynooth Review / Revieú Mhá Nuad	|maynooth review
Memoirs of the American Academy in Rome. Supplementary Volumes	|memoirs of the american academy in rome:  supplementary volume
	|mental and physical disability law report
Meridians	|meridians: feminism, race, transnationalism
Mexican Studies / Estudios Mexicanos	|mexican studies
	|middle east review
Mitteilungen des Deutschen Archaologischen Instituts, Roemische Abteilung	|mitteilungen des deutschen archaologischen instituts, r...
Mitteilungen des Kunsthistorischen Institutes in Florenz	|mitteilungen des kunsthistorischen institut in florenz
Mitteilungen des Kunsthistorischen Institutes in Florenz	|mitteilungen des kunsthistorischen institutin florenz
	|moscow news
	|moscow news information
	|music perception
	|national society for the study of education yearbook
	|national tax association
	|natural resources and environment
	|nber digest
	|nber reporter
	|neuren sprachen
	|new criminal law review
New England Review (1990-)	|new england review
New Hibernia Review / Iris Éireannach Nua	|new hibernia review
Notable Acquisitions	|notable aquisitions
Notes and Records of the Royal Society of London	|notes and records of the royal society
	|nouvelles etudes francophones
	|nova religio
NOVEL: A Forum on Fiction	|novel
Numen	|numen, international review for the history of religions
	|nwig: new west indian guide/nieuwe west indische gids
	|optical society of america
	|optical society of america index
PAJ: A Journal of Performance and Art	|paj: journal of performance and art
	|pakistan development review
Partisan Review (1936-2003)	|partisan review
	|pedagogica historica
	|perceptual and motor skills
Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition	|philosophical studies
Philosophical Transactions: Mathematical, Physical and Engineering Sciences	|philosophical transactions series a
Philosophical Transactions: Biological Sciences	|philosophical transactions series b
	|philosophy of education
	|phylon
	|physical educator
Peabody Journal of Education 	|pje (peabody journal of education)
	|politica exterior
	|proceedings of the annual meeting of the berkeley linguistics society
Proceedings of the Annual Meeting. American Society of International Law	|proceedings of the annual meeting, american society of international law
Proceedings of the Aristotelian Society, Supplementary Volumes	|proceedings of the aristotelian society, supplements
Proceedings of the National Academy of Sciences of the United States of America	|proceedings of the national academy of sciences
	|proceedings of the national tax association
	|proceedings of the pennsylvania academy of science
Proceedings of the Royal Anthropological Institute of Great Britain and Ireland	|proceedings of the royal anthropological instittute
Proceedings of the Royal Irish Academy. Section C: Archaeology, Celtic Studies, History, Linguistics, Literature	|proceedings of the royal irish academy. section c, archaeology, celtic studies, history, linguistics, and literature
Proceedings: Mathematical, Physical and Engineering Sciences	|proceedings of the rsl series a
Proceedings: Biological Sciences	|proceedings of the rsl series b
Proceedings of the American Philosophical Society	|proceedings: american philosophical society
	|professional psychology
	|psychological methods
	|psychological monographs
	|psychological reports
	|psychology and aging
	|psychology and social theory
	|psychology of aging
	|psychology of women
Public Health Reports (1974-)	|public health reports
Publication of the American Dialect Society (added 8/07)	|publications of the american dialect society
	|publications of the modern language association of america
	|quarterly journal of speech
	|real property, trust and estate law journal
	|recherches économique de louvain
Reis: Revista Española de Investigaciones Sociológicas	|reis
	|religion and american culture
	|religious education
	|research quarterly
	|review of financial economics
	|review of review
	|review of the international statistical institute
	|review: federal reserve bank of st. louis
Revista Cidob d'Afers Internacionals	|revista cidob d?afers internacionals
	|revista de crítica literaria latinoamericana
	|revista de historia de america
	|revista mexicana de sociologia
Revue belge de Musicologie / Belgisch Tijdschrift voor Muziekwetenschap	|revue belge de musicologie
	|revue de linguistique romane
	|revue des Études latines
	|revue d'histoire litteraire de la france
Revue d'histoire moderne et contemporaine (1954-)	|revue d'histoire moderne et contemporaine (1954- )
	|revue d'historie diplomatique
	|revue economique
	|revue francaise de sociologie
Revue de Musicologie	|revue musicologie
	|rhetorica
	|rockefeller foundation annual report
	|rural sociology
	|samlaren
Sankhya: The Indian Journal of Statistics (2003-)	|"sankhya, the indian journal of statistics"
	|scandanavian actuarial
Schools: Studies in Education	|schools:  studies in education
	|science teacher
Science, Technology, & Human Values	|science, technology and human values
Seanchas Ardmhacha: Journal of the Armagh Diocesan Historical Society	|seanchas ardmhacha (journal of the armagh diocesan historical society)
	|secondary education
	|seminar
	|sex roles
Short Book Reviews [SEE NOTES]	|short book reviews
SIAM Journal on Applied Mathematics	|siam journal on  applied mathematics
	|skandinavisk akturaie tidskrift
The Slavonic Yearbook. American Series	|slavonic year book
	|slz
	|society for latin american studies
	|source information
	|southern history journal
	|srednee spetsial'noe obrazovnie
	|state and local taxation
	|studia linguistica
	|studia logica
Studia Musicologica Academiae Scientiarum Hungaricae	|studia musicologia
Studia Musicologica Academiae Scientiarum Hungaricae	|studia musicologica
Studien zur Altägyptischen Kultur	|studien zur altaegyptischen kultur
"Studies in English Literature, 1500-1900"	|studies in english literature
	|studies in second language acquisition
Syria	|syria:  revue d'art oriental et d'archeologie
Syria	|syria: revue d'art oriental et d'archeologie
	|systematics and geography
Tarbiz (aka Tarbitz)	|tarbiz
TDR (1988-) 	|tdr the drama review
	|teacher's college journal
	|teaching history
	|teaching philosophy
	|tesl talk
	|theatre and dance technology
	|theatre notebook
	|theatre survey
Tijdschrift van de Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis	|tijdschrift van de koninklijke vereniging voor nederlandse muziek geschiedenis
	|topics in health care finance
T'oung Pao [*see notes]	|toung pao
Transactions (Institute of British Geographers)	|transactions (institute of british geographers: 1965)
Transactions of the American Entomological Society (1890-)	|transactions of the american entomological society
	|transactions of the american philological association
Transactions of the Kansas Academy of Science (1903-)	|transactions of the kansas academy of science
	|u.s. federal communications commission annual report
	|unterrichtspraxis/teaching german
	|us catholic historian
	|utopian studies
Vingtieme siecle. Revue d'histoire	|vingtieme siecle
	|volta review
Washington History 	|washinton history
Water Environment & Technology	|"water, environment, and technology"
Waterbirds: The International Journal of Waterbird Biology	|waterbirds
	|welt des orient
	|white house: organization and operations
Women's Studies International	|wilson quarterly
	|women's studies international
	|women's studies
	|yale review
Year Book of World Affairs 	|yearbook of world affairs
	|young children
	|zeitschrift fur internationale beziehungen
Zeitschrift für Kunstgeschichte	|zeitschrift fur kunstgeschichte
Zeitschrift für Papyrologie und Epigraphik	|zeitschrift fur papyrologie und epigraphik
	|zeitschrift fur politik
Beihefte zur Zeitschrift für romanische Philologie	|zeitschrift fur romanische philology
