10.2307/j100006|Brittonia
10.2307/j100413|Zeitschrift für Kunstgeschichte
10.2307/j100417|Desarrollo Económico
10.2307/j100422|Journal of Architectural Education (1947-1974)
10.2307/j101031|The American Law Register (1852-1891)
10.2307/j100967|Botanical Bulletin
10.2307/j100136|Duke Law Journal
10.2307/j100172|Hispania
10.2307/j100179|The History Teacher
10.2307/j100184|Transactions of the Institute of British Geographers
10.2307/j100185|International Affairs (Royal Institute of International Affairs 1944-)
10.2307/j100236|The Journal of Modern History
10.2307/j100301|New Phytologist
10.2307/j100338|Reading Research Quarterly
10.2307/j100396|University of Pennsylvania Law Review
10.2307/j100530|19th-Century Music
10.2307/j100564|Revista Mexicana de Sociología
10.2307/j100602|Journal of the Royal Geographical Society of London
10.2307/j100687|Abstracts of the Papers Communicated to the Royal Society of London
10.2307/j100112|The Burlington Magazine
10.2307/j100019|Medical Anthropology Quarterly
10.2307/j100020|Invertebrate Biology
10.2307/j100036|Geografiska Annaler
10.2307/j100055|American Educational Research Journal
10.2307/j100061|American Journal of Economics and Sociology
10.2307/j100068|American Literature
10.2307/j100070|Proceedings of the American Mathematical Society
10.2307/j100072|Transactions of the American Microscopical Society
10.2307/j100073|Journal of the American Musicological Society
10.2307/j100083|The Americas
10.2307/j100085|The Annals of Mathematical Statistics
10.2307/j100092|Art Education
10.2307/j100095|Asian Survey
10.2307/j100096|Annals of the Association of American Geographers
10.2307/j100099|The Bell Journal of Economics and Management Science
10.2307/j100101|Biometrics
10.2307/j100103|BioScience
10.2307/j100113|The Business History Review
10.2307/j100114|California Law Review
10.2307/j100118|Chesapeake Science
10.2307/j100122|The Classical Journal
10.2307/j100130|Comparative Literature
10.2307/j100134|Contemporary Literature
10.2307/j100146|Educational Studies in Mathematics
10.2307/j100147|Educational Theatre Journal
10.2307/j100148|Eighteenth-Century Studies
10.2307/j100153|Ethics
10.2307/j100155|Ethnology
10.2307/j100169|The Harvard Theological Review
10.2307/j100176|History and Theory
10.2307/j100178|History of Religions
10.2307/j100186|The International and Comparative Law Quarterly
10.2307/j100189|International Journal of Middle East Studies
10.2307/j100192|International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education
10.2307/j100196|Journal for Research in Mathematics Education
10.2307/j100202|Journal of African Law
10.2307/j100207|The Journal of Asian Studies
10.2307/j100209|Journal of Black Studies
10.2307/j100210|The Journal of British Studies
10.2307/j100215|"The Journal of Criminal Law, Criminology, and Police Science"
10.2307/j100223|Journal of Health and Social Behavior
10.2307/j100229|Journal of Interamerican Studies and World Affairs
10.2307/j100245|Journal of Peace Research
10.2307/j100257|Journal of the Economic and Social History of the Orient
10.2307/j100260|Transactions of the Kansas Academy of Science (1903-)
10.2307/j100272|Mathematics Magazine
10.2307/j100280|The Milbank Memorial Fund Quarterly
10.2307/j100288|The Modern Law Review
10.2307/j100289|Modern Philology
10.2307/j100311|PMLA
10.2307/j100336|The Quarterly Review of Biology
10.2307/j100348|Revue française de sociologie
10.2307/j100349|The Bulletin of the Rocky Mountain Modern Language Association
10.2307/j100361|Simiolus: Netherlands Quarterly for the History of Art
10.2307/j100383|Studies in Family Planning
10.2307/j100388|Technology and Culture
10.2307/j100411|Yale French Studies
10.2307/j100431|SubStance
10.2307/j100433|Proceedings of the Academy of Political Science
10.2307/j100456|Metropolitan Museum Journal
10.2307/j100462|Perspecta
10.2307/j100481|The Journal of Criminal Law and Criminology (1973-)
10.2307/j100483|Review of Research in Education
10.2307/j100493|New German Critique
10.2307/j100519|Oxford Art Journal
10.2307/j100522|Managerial and Decision Economics
10.2307/j100525|Bulletin of the American Institute for Conservation of Historic and Artistic Works
10.2307/j100526|Wisconsin Studies in Contemporary Literature
10.2307/j100528|Law and Human Behavior
10.2307/j100536|German Studies Review
10.2307/j100543|The Mississippi Valley Historical Review
10.2307/j100546|Journal of Arachnology
10.2307/j100554|Educational Evaluation and Policy Analysis
10.2307/j100570|The Old Testament Student
10.2307/j100588|Philosophical Transactions of the Royal Society of London
10.2307/j100589|Early Music History
10.2307/j100590|Popular Music
10.2307/j100591|Bulletin of Latin American Research
10.2307/j100601|Journal of Tropical Ecology
10.2307/j100614|Midland Naturalist
10.2307/j100627|South Atlantic Review
10.2307/j100629|The Journal of Musicology
10.2307/j100634|Bulletin du Jardin botanique national de Belgique / Bulletin van de National Plantentuin van België
10.2307/j100635|Theory and Society
10.2307/j100636|Goodwin Series
10.2307/j100637|Comparative Education
10.2307/j100638|Journal of Biogeography
10.2307/j100644|The Yearbook of English Studies
10.2307/j100653|The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique
10.2307/j100654|Pakistan Forum
10.2307/j100656|Canadian Public Policy / Analyse de Politiques
10.2307/j100658|The Canadian Journal of Statistics / La Revue Canadienne de Statistique
10.2307/j100662|International Review of the Aesthetics and Sociology of Music
10.2307/j100665|African Economic History Review
10.2307/j100668|History in Africa
10.2307/j100670|Public Productivity Review
10.2307/j100671|The International Journal of African Historical Studies
10.2307/j100683|AJS Review
10.2307/j100693|Philosophical Transactions (1665-1678)
10.2307/j100711|Radiation Research Supplement
10.2307/j100733|Journal of Business &amp; Economic Statistics
10.2307/j100744|"Newsletter on Science, Technology, &amp; Human Values"
10.2307/j100757|University of Pennsylvania Law Review and American Law Register
10.2307/j100759|APT Bulletin
10.2307/j100762|PALAIOS
10.2307/j100764|Journal of Applied Econometrics
10.2307/j100765|Journal for Research in Mathematics Education. Monograph
10.2307/j100774|Phylon (1940-1956)
10.2307/j100777|The Journal of the Association of Teachers of Japanese
10.2307/j100778|The Family Life Coordinator
10.2307/j100779|Anuario Interamericano de Investigacion Musical
10.2307/j100783|Journal of the North American Benthological Society
10.2307/j100786|"Journal of the Society for Industrial and Applied Mathematics: Series B, Numerical Analysis"
10.2307/j100788|Perspectives in Vernacular Architecture
10.2307/j100005|American Midland Naturalist
10.2307/j100012|The Journal of Marketing
10.2307/j100017|Journal of Palestine Studies
10.2307/j100033|American Art Journal
10.2307/j100034|Current Anthropology
10.2307/j100035|Italica
10.2307/j100037|The Journal of Economic History
10.2307/j100040|The Academy of Management Journal
10.2307/j100041|The Accounting Review
10.2307/j100046|African Affairs
10.2307/j100047|African Arts
10.2307/j100049|African Studies Review
10.2307/j100053|Journal of the American Academy of Religion
10.2307/j100054|American Antiquity
10.2307/j100056|American Fern Journal
10.2307/j100057|American Journal of Agricultural Economics
10.2307/j100059|American Journal of Botany
10.2307/j100063|American Journal of Mathematics
10.2307/j100077|The American Political Science Review
10.2307/j100078|American Quarterly
10.2307/j100081|American Speech
10.2307/j100089|Archives of American Art Journal
10.2307/j100090|Arctic and Alpine Research
10.2307/j100094|Artibus Asiae
10.2307/j100098|Avian Diseases
10.2307/j100106|The British Journal for the Philosophy of Science
10.2307/j100110|Brookings Papers on Economic Activity
10.2307/j100115|Canadian Journal of African Studies / Revue Canadienne des Études Africaines
10.2307/j50000352|Research in the Teaching of English
10.2307/j100120|Church History
10.2307/j100121|Cinema Journal
10.2307/j100124|The Classical Quarterly
10.2307/j100125|The Classical Review
10.2307/j100126|College Composition and Communication
10.2307/j100129|Comparative Education Review
10.2307/j100131|Comparative Politics
10.2307/j100132|Comparative Studies in Society and History
10.2307/j100135|The Drama Review: TDR
10.2307/j100137|Ecological Monographs
10.2307/j100139|Econometrica
10.2307/j100150|The English Historical Review
10.2307/j100151|The English Journal
10.2307/j100158|Family Planning Perspectives
10.2307/j100159|Film Quarterly
10.2307/j100160|The Florida Entomologist
10.2307/j100162|Journal of the Folklore Institute
10.2307/j100163|Foreign Policy
10.2307/j100164|French Historical Studies
10.2307/j100166|The German Quarterly
10.2307/j100170|Hesperia
10.2307/j100173|The Hispanic American Historical Review
10.2307/j100174|Hispanic Review
10.2307/j100177|History of Education Quarterly
10.2307/j100182|Indonesia
10.2307/j100183|Industrial and Labor Relations Review
10.2307/j100187|International Economic Review
10.2307/j100190|Staff Papers - International Monetary Fund
10.2307/j100191|International Organization
10.2307/j100198|Journal of Accounting Research
10.2307/j100199|Journal of Aesthetic Education
10.2307/j100203|The Journal of American Folklore
10.2307/j100204|The Journal of American History
10.2307/j100211|The Journal of Business
10.2307/j100213|The Journal of Conflict Resolution
10.2307/j100220|Journal of Educational Measurement
10.2307/j100221|The Journal of Finance
10.2307/j100224|Journal of Herpetology
10.2307/j100225|The Journal of Higher Education
10.2307/j100227|The Journal of Hygiene
10.2307/j100228|The Journal of Industrial Economics
10.2307/j100230|Journal of Interdisciplinary History
10.2307/j100231|Journal of Latin American Studies
10.2307/j100233|Journal of Marketing Research
10.2307/j100234|Journal of Marriage and Family
10.2307/j100235|The Journal of Modern African Studies
10.2307/j100237|Journal of Modern Literature
10.2307/j100238|"Journal of Money, Credit and Banking"
10.2307/j100239|Journal of Music Theory
10.2307/j100240|Journal of Near Eastern Studies
10.2307/j100243|Journal of Paleontology
10.2307/j100248|The Journal of Politics
10.2307/j100249|The Journal of Religion
10.2307/j100250|Journal of Religion in Africa
10.2307/j100251|Journal of Research in Music Education
10.2307/j100252|The Journal of Risk and Insurance
10.2307/j100258|Journal of the History of Ideas
10.2307/j100259|The Journal of Wildlife Management
10.2307/j100261|Land Economics
10.2307/j100265|Leonardo
10.2307/j100267|Luso-Brazilian Review
10.2307/j100269|Management Science
10.2307/j100271|The Mathematical Gazette
10.2307/j100282|Mind
10.2307/j100286|MLN
10.2307/j100294|Notes
10.2307/j100296|The Musical Times
10.2307/j100298|Negro American Literature Forum
10.2307/j100300|New Literary History
10.2307/j100302|Nineteenth-Century Fiction
10.2307/j100304|Numen
10.2307/j100306|Oikos
10.2307/j100314|Pacific Historical Review
10.2307/j100316|Past &amp; Present
10.2307/j100318|Philadelphia Museum of Art Bulletin
10.2307/j100323|Philosophy East and West
10.2307/j100333|Public Administration Review
10.2307/j100335|The Quarterly Journal of Economics
10.2307/j100341|The Review of Economics and Statistics
10.2307/j100344|The Review of Politics
10.2307/j100345|Review of Religious Research
10.2307/j100347|Revue économique
10.2307/j100352|Journal of the Royal Statistical Society. Series B (Methodological)
10.2307/j100353|Journal of the Royal Statistical Society. Series C (Applied Statistics)
10.2307/j100355|SIAM Journal on Applied Mathematics
10.2307/j100357|SIAM Review
10.2307/j100359|Science Studies
10.2307/j100360|Shakespeare Quarterly
10.2307/j100364|Social Forces
10.2307/j100368|Sociological Analysis
10.2307/j100370|Sociometry
10.2307/j100378|Stanford Law Review
10.2307/j100390|Theory into Practice
10.2307/j100410|World Politics
10.2307/j100412|The Yale Law Journal
10.2307/j100416|Copeia
10.2307/j100418|Feminist Studies
10.2307/j100421|Issue: A Journal of Opinion
10.2307/j100424|The Journal of Legal Studies
10.2307/j100427|Novum Testamentum
10.2307/j100429|Publius
10.2307/j100434|Proceedings of the American Academy for Jewish Research
10.2307/j100435|Records of the Academy (American Academy of Arts and Sciences)
10.2307/j100437|Proceedings and Addresses of the American Philosophical Association
10.2307/j100438|Transactions of the American Philosophical Society
10.2307/j100441|Annual Review of Ecology and Systematics
10.2307/j100445|Britannia
10.2307/j100446|Demography
10.2307/j100447|Dumbarton Oaks Papers
10.2307/j100449|Harvard Journal of Asiatic Studies
10.2307/j100454|Journal of the Warburg and Courtauld Institutes
10.2307/j100458|Oriens
10.2307/j100459|Pacific Coast Philology
10.2307/j100460|Paedagogica Europaea
10.2307/j100463|Proceedings of the Royal Anthropological Institute of Great Britain and Ireland
10.2307/j100478|Political Theory
10.2307/j100480|The Annals of Probability
10.2307/j100482|Environmental Health Perspectives
10.2307/j100486|Teaching Sociology
10.2307/j100488|The Hastings Center Report
10.2307/j100492|The Journal of Consumer Research
10.2307/j100494|American Ethnologist
10.2307/j100495|The Oral History Review
10.2307/j100501|Journal of Japanese Studies
10.2307/j100502|Journal of Health and Human Behavior
10.2307/j100503|The Journal of Biophysical and Biochemical Cytology
10.2307/j100506|AIBS Bulletin
10.2307/j100507|Modern China
10.2307/j100508|Language
10.2307/j100510|Council on Anthropology and Education Quarterly
10.2307/j100511|Population and Development Review
10.2307/j100512|Biometrics Bulletin
10.2307/j100513|Holarctic Ecology
10.2307/j100514|British Educational Research Journal
10.2307/j100515|Feminist Review
10.2307/j100517|Journal of Occupational Behaviour
10.2307/j100518|British Journal of Sociology of Education
10.2307/j100523|African Economic History
10.2307/j100527|Dance Chronicle
10.2307/j100529|Social Psychology
10.2307/j100531|Black American Literature Forum
10.2307/j100532|Computer Music Journal
10.2307/j100533|JAE
10.2307/j100535|Dance Research Journal
10.2307/j100537|The Australian Journal of Chinese Affairs
10.2307/j100540|Estuaries
10.2307/j100542|"The Journal of Philosophy, Psychology and Scientific Methods"
10.2307/j100544|The Carleton Drama Review
10.2307/j100545|Anthropology &amp; Education Quarterly
10.2307/j100549|Journal of the American Statistical Association
10.2307/j100555|History of Education Journal
10.2307/j100560|Social Text
10.2307/j100562|Biogeochemistry
10.2307/j100563|Englera
10.2307/j100565|Social Psychology Quarterly
10.2307/j100566|International Family Planning Perspectives
10.2307/j100568|Bulletin of the American Geographical Society
10.2307/j100569|The Old and New Testament Student
10.2307/j100573|Palynology
10.2307/j100577|International Political Science Review / Revue internationale de science politique
10.2307/j100578|Notable Acquisitions (Metropolitan Museum of Art)
10.2307/j100579|IRB: Ethics and Human Research
10.2307/j100580|Music Theory Spectrum
10.2307/j100583|Journal of Public Health Policy
10.2307/j100586|International Migration Review
10.2307/j100587|Philosophical Transactions (1683-1775)
10.2307/j100605|Arab Law Quarterly
10.2307/j100607|Journal of the Royal Musical Association
10.2307/j100610|Woman's Art Journal
10.2307/j100611|PSA: Proceedings of the Biennial Meeting of the Philosophy of Science Association
10.2307/j100613|Transactions of the American Philological Association (1869-1896)
10.2307/j100615|The Public Historian
10.2307/j100619|Journal of the Early Republic
10.2307/j100620|Modern Judaism
10.2307/j100621|Black Music Research Journal
10.2307/j100628|Renaissance News
10.2307/j100673|American Bar Foundation Research Journal
10.2307/j100677|Far Eastern Survey
10.2307/j100678|Journal of Educational Statistics
10.2307/j100690|Journal of the Society for Industrial and Applied Mathematics
10.2307/j100710|Journal of the Ohio Herpetological Society
10.2307/j100712|Bulletin of African Studies in Canada / Bulletin des Études Africaines au Canada
10.2307/j100713|Bulletin of the American Group. International Institute for Conservation of Historic and Artistic Works
10.2307/j100722|Council on Anthropology and Education Newsletter
10.2307/j100725|Learning Disability Quarterly
10.2307/j100730|Journal of Labor Economics
10.2307/j100732|Representations
10.2307/j100739|Journal of Community Health Nursing
10.2307/j100745|Colonial Waterbirds
10.2307/j100756|Wicazo Sa Review
10.2307/j100769|Journal of Criminal Law and Criminology (1931-1951)
10.2307/j100771|Journal of Inter-American Studies
10.2307/j100776|Marriage and Family Living
10.2307/j100780|Science &amp; Technology Studies
10.2307/j100782|The Tulane Drama Review
10.2307/j100787|Hypatia
10.2307/j100789|MERIP Middle East Report
10.2307/j100795|Smithsonian Studies in American Art
10.2307/j100804|Journal of Organizational Behavior
10.2307/j100816|Tijdschrift der Vereeniging voor Noord-Nederlands Muziekgeschiedenis
10.2307/j100818|"Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character"
10.2307/j100824|African Languages and Cultures
10.2307/j100826|Cancer Causes &amp; Control
10.2307/j100829|Journal of the Warburg Institute
10.2307/j100840|Biodiversity Letters
10.2307/j100845|IMF Staff Papers
10.2307/j100853|Latin American Antiquity
10.2307/j100857|Psychological Inquiry
10.2307/j100858|PS: Political Science and Politics
10.2307/j100867|Religion and American Culture: A Journal of Interpretation
10.2307/j100871|The Future of Children
10.2307/j100878|Proceedings of the American Microscopical Society
10.2307/j100883|Systematic Biology
10.2307/j100886|Political Research Quarterly
10.2307/j100903|African Journal of Reproductive Health / La Revue Africaine de la Santé Reproductive
10.2307/j100904|Population: An English Selection
10.2307/j100909|Journal of Anthropology
10.2307/j100911|Transactions of the Anthropological Society of London
10.2307/j100912|"Bulletin of the School of Oriental Studies, University of London"
10.2307/j100919|The Journal of the Ethnological Society of London (1869-1870)
10.2307/j100920|Anthropological Review
10.2307/j100923|Systematics and Geography of Plants
10.2307/j100925|International Journal of Health Care Finance and Economics
10.2307/j100940|Cambridge Historical Journal
10.2307/j100948|The International Law Quarterly
10.2307/j100949|Journal of Comparative Legislation and International Law
10.2307/j100955|The Journal of the American Military History Foundation
10.2307/j100002|Imago Mundi
10.2307/j100003|Publications of the American Statistical Association
10.2307/j100013|Music Educators Journal
10.2307/j100018|Mexican Studies / Estudios Mexicanos
10.2307/j100023|The American Journal of International Law
10.2307/j100024|The Review of Economic Studies
10.2307/j100032|Journal of Animal Ecology
10.2307/j100044|Advances in Applied Probability
10.2307/j100048|African Historical Studies
10.2307/j100074|The American Naturalist
10.2307/j100082|The American Statistician
10.2307/j100097|The Journal-Newsletter of the Association of Teachers of Japanese
10.2307/j100100|The Biblical Archaeologist
10.2307/j100108|British Journal of Political Science
10.2307/j100133|The Condor
10.2307/j100152|ELH
10.2307/j100165|Geographical Review
10.2307/j100181|Illinois Agricultural Economics
10.2307/j100193|International Studies Quarterly
10.2307/j100217|Journal of Ecology
10.2307/j100219|Journal of Economic Literature
10.2307/j100226|The Journal of Human Resources
10.2307/j100253|The Journal of Sex Research
10.2307/j100262|Latin American Research Review
10.2307/j100266|Limnology and Oceanography
10.2307/j100275|The Metropolitan Museum of Art Bulletin
10.2307/j100278|Midwest Journal of Political Science
10.2307/j100285|The Modern Language Journal
10.2307/j100291|Le Mouvement social
10.2307/j100309|Ornis Scandinavica
10.2307/j100317|Perspectives of New Music
10.2307/j50000317|The Belfast Magazine and Literary Journal
10.2307/j50000330|The Collector and Art Critic
10.2307/j50000318|Bulletin of the New England Art Union
10.2307/j50000341|Computers and the Humanities
10.2307/j50000347|Brush and Pencil
10.2307/j50000380|Transactions of the Kilkenny Archaeological Society
10.2307/j50000381|Proceedings and Transactions of the Kilkenny and South-East of Ireland Archaeological Society
10.2307/j50000384|The Journal of the Royal Historical and Archaeological Association of Ireland
10.2307/j60251980|Manchester Selected Pamphlets
10.2307/j60251979|Wilson Anti-Slavery Collection
10.2307/j100332|"Record of the Art Museum, Princeton University"
10.2307/j100339|Renaissance Quarterly
10.2307/j100356|SIAM Journal on Numerical Analysis
10.2307/j100362|The Slavic and East European Journal
10.2307/j100363|Slavic Review
10.2307/j100369|Sociology of Education
10.2307/j100372|The South Central Bulletin
10.2307/j100374|Southwestern Journal of Anthropology
10.2307/j100375|The Southwestern Naturalist
10.2307/j100376|Soviet Studies
10.2307/j100379|Journal of the Royal Statistical Society. Series D (The Statistician)
10.2307/j100385|Systematic Zoology
10.2307/j100392|Transition
10.2307/j100394|The University of Chicago Law Review
10.2307/j100395|"Bulletin of the School of Oriental and African Studies, University of London"
10.2307/j100397|The University of Toronto Law Journal
10.2307/j100400|Vetus Testamentum
10.2307/j100403|Virginia Law Review
10.2307/j100405|Western Folklore
10.2307/j100406|The Western Historical Quarterly
10.2307/j100425|MERIP Reports
10.2307/j100426|Modern Language Studies
10.2307/j100457|Curriculum Theory Network
10.2307/j100479|The Black Perspective in Music
10.2307/j100497|Latin American Perspectives
10.2307/j100538|The Milbank Memorial Fund Quarterly. Health and Society
10.2307/j100539|The Journal of the Operational Research Society
10.2307/j100541|Frontiers: A Journal of Women Studies
10.2307/j100550|"Science, Technology, &amp; Human Values"
10.2307/j100556|Political Psychology
10.2307/j100559|MELUS
10.2307/j100567|The Biblical World
10.2307/j100574|North Central Journal of Agricultural Economics
10.2307/j100584|Family Relations
10.2307/j100593|Journal of Law and Society
10.2307/j100594|Dance Research: The Journal of the Society for Dance Research
10.2307/j100596|Philosophical Transactions of the Royal Society of London. B
10.2307/j100608|Functional Ecology
10.2307/j100616|The Bulletin of the College Art Association of America
10.2307/j100618|Human Rights Quarterly
10.2307/j100642|The China Quarterly
10.2307/j100647|International Statistical Review / Revue Internationale de Statistique
10.2307/j100648|Garden History
10.2307/j100655|Yearbook of the International Folk Music Council
10.2307/j100664|Transactions of the American Philological Association (1974-)
10.2307/j100669|Background
10.2307/j100672|The Bell Journal of Economics
10.2307/j100680|Systematic Botany
10.2307/j100681|The Far Eastern Quarterly
10.2307/j100682|The Academy of Management Review
10.2307/j100684|ASA Review of Books
10.2307/j100688|Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
10.2307/j100695|Bulletin du Jardin botanique de l'État a Bruxelles
10.2307/j100696|Mitteilungen der Internationalen Gesellschaft für Musikwissenschaft / Bulletin de la Société internationale de Musicologie
10.2307/j100698|Canadian Journal of Education / Revue canadienne de l'éducation
10.2307/j100699|Contributions to Canadian Economics
10.2307/j100702|Artibus et Historiae
10.2307/j100703|La Ricerca Folklorica
10.2307/j100706|Bulletin annuel de l'Institut français d'histoire sociale
10.2307/j100707|Quarterly Newsletter (Garden History Society)
10.2307/j100715|Management Technology
10.2307/j100717|Anuario
10.2307/j100718|African Studies Bulletin
10.2307/j100719|Archaeological Reports
10.2307/j100721|CORD News
10.2307/j100727|Muqarnas
10.2307/j100729|Herpetological Monographs
10.2307/j100734|Rhetoric Review
10.2307/j100738|Cognition and Instruction
10.2307/j100740|Journal of Folklore Research
10.2307/j100753|The College Mathematics Journal
10.2307/j100761|Cultural Critique
10.2307/j100766|Bulletin (Archives of American Art)
10.2307/j100770|Journal of Bible and Religion
10.2307/j100772|Journal of Educational Sociology
10.2307/j100773|Journal of the American Institute of Criminal Law and Criminology
10.2307/j100785|Primitive Man
10.2307/j100791|Conservation Biology
10.2307/j100794|Recent Acquisitions (Metropolitan Museum of Art)
10.2307/j100800|Film History
10.2307/j100802|The Review of Financial Studies
10.2307/j100805|The Bulletin of the College Art Association
10.2307/j100807|American Literary History
10.2307/j100809|Zoological Bulletin
10.2307/j100810|The Philadelphia Museum Bulletin
10.2307/j100813|The Journal of Military History
10.2307/j100815|Journal of Avian Biology
10.2307/j100820|Epidemiology and Infection
10.2307/j100821|Journal of the International Folk Music Council
10.2307/j100822|Journal of Design History
10.2307/j100831|Journal of the Statistical Society of London
10.2307/j100832|Global Ecology and Biogeography Letters
10.2307/j100838|Journal of the Royal Statistical Society. Series A (Statistics in Society)
10.2307/j100839|Europe-Asia Studies
10.2307/j100849|Cardozo Studies in Law and Literature
10.2307/j100850|Journal of the History of Sexuality
10.2307/j100855|The Journal of Insurance
10.2307/j100862|The Annals of Applied Probability
10.2307/j100866|The Journal of Mycology
10.2307/j100868|Business Ethics Quarterly
10.2307/j100872|Novon
10.2307/j100874|Brookings Papers on Economic Activity. Microeconomics
10.2307/j100876|Review of Agricultural Economics
10.2307/j100879|Journal of Computational and Graphical Statistics
10.2307/j100887|Sociology of Religion
10.2307/j100892|Journal of Educational and Behavioral Statistics
10.2307/j100893|The Journal of Blacks in Higher Education
10.2307/j100898|"Journal of Agricultural, Biological, and Environmental Statistics"
10.2307/j100900|Near Eastern Archaeology
10.2307/j100905|The China Journal
10.2307/j100907|British Journal of Middle Eastern Studies
10.2307/j100917|Journal of the Ethnological Society of London (1848-1856)
10.2307/j100921|Journal of African Cultural Studies
10.2307/j100924|Tijdschrift van de Koninklijke Vereniging voor Nederlandse Muziekgeschiedenis
10.2307/j100926|Applied Vegetation Science
10.2307/j100927|Artibus Asiae. Supplementum
10.2307/j100928|Ecosystems
10.2307/j100932|Global Ecology and Biogeography
10.2307/j100933|The Incorporated Statistician
10.2307/j100934|Operational Research Quarterly (1950-1952)
10.2307/j100937|Journal of the Royal Institute of International Affairs
10.2307/j100938|International Affairs (Royal Institute of International Affairs 1931-1939)
10.2307/j100939|International Affairs Review Supplement
10.2307/j100941|African Languages and Cultures. Supplement
10.2307/j100943|Transactions and Papers (Institute of British Geographers)
10.2307/j100944|Proceedings of the Royal Geographical Society of London
10.2307/j100946|Transactions of the Grotius Society
10.2307/j100947|Obituary Notices of Fellows of the Royal Society
